file_name,title,method
0521.md,Following palladium catalyzed methoxycarbonylation by hyperpolarized NMR spectroscopy: a parahydrogen based investigation,1H-PHIP
0221.md,Selective detection of hyperpolarized NMR signals derived from para-hydrogen using the Only Para-hydrogen Spectroscopy (OPSY) approach,1H-PHIP
0032.md,Effective PHIP Labeling of Bioactive Peptides Boosts the Intensity of the NMR Signal,1H-PHIP
0525.md,Parahydrogen-induced polarization with a metal-free P-P biradicaloid,1H-PHIP
0335.md,Pd on Nanodiamond/Graphene in Hydrogenation of Propyne with Parahydrogen,1H-PHIP
0400.md,Tweezers for Parahydrogen: A Metal-Free Probe of Nonequilibrium Nuclear Spin States of H₂ Molecules,1H-PHIP
0631.md,Catalytic hydrogenation with parahydrogen: a bridge from homogeneous to heterogeneous catalysis,1H-PHIP
0014.md,Silica-Encapsulated Pt-Sn Intermetallic Nanoparticles: A Robust Catalytic Platform for Parahydrogen-Induced Polarization of Gases and Liquids,1H-PHIP
0574.md,Quantitative reaction monitoring using parahydrogen-enhanced benchtop NMR spectroscopy†,1H-PHIP
0463.md,Through-bond and through-space radiofrequency amplification by stimulated emission of radiation,1H-PHIP
0290.md,In situ PHIP NMR — a new tool to investigate hydrogenation mediated by colloidal catalysts,1H-PHIP
0189.md,Monitoring Hydrogenation Reactions using Benchtop 2D NMR with Extraordinary Sensitivity and Spectral Resolution,1H-PHIP
0042.md,Background-Free Proton NMR Spectroscopy with Radiofrequency Amplification by Stimulated Emission Radiation,1H-PHIP
0342.md,Hydrogenation of Unsaturated Six-Membered Cyclic Hydrocarbons Studied by the Parahydrogen-Induced Polarization Technique,1H-PHIP
0478.md,An NMR study of cobalt-catalyzed hydroformylation using para-hydrogen induced polarisation†,1H-PHIP
0632.md,Dicyclohexyl(2-(dimesitylboryl)phenyl) phosphine: en route to stable frustrated Lewis pairs-hydrogen adducts in water,1H-PHIP
0030.md,Long-Lived 1H Nuclear Spin Singlet in Dimethyl Maleate Revealed by Addition of Thiols,1H-PHIP
0152.md,Parahydrogen induced polarization of barbituric acid derivatives: ${}^{1}\mathsf{H}$ hyperpolarization studies,1H-PHIP
0138.md,Implications for the Hydrogenation of Propyne and Propene with Parahydrogen due to the in situ Transformation of Rh₂C to Rh⁰/C,1H-PHIP
0412.md,Mechanistic Insights into Molecular Crystalline Organometallic Heterogeneous Catalysis through Parahydrogen-Based Nuclear Magnetic Resonance Studies,1H-PHIP
0519.md,Polarization transfer efficiency in PHIP experiments,1H-PHIP
0316.md,Clinical-Scale Batch-Mode Production of Hyperpolarized Propane Gas for MRI,1H-PHIP
0167.md,Monitoring of hydrogenation by benchtop NMR with parahydrogen-induced polarization,1H-PHIP
0604.md,The application of novel Ir-NHC polarization transfer complexes by SABRE,1H-SABRE
0319.md,Iridium Cyclooctene Complex That Forms a Hyperpolarization Transfer Catalyst before Converting to a Binuclear C-H Bond Activation Product Responsible for Hydrogen Isotope Exchange,1H-SABRE
0524.md,Quantification of hyperpolarisation efficiency in SABRE and SABRE-Relay enhanced NMR spectroscopy,1H-SABRE
0110.md,Single-Scan Diffusion-Ordered NMR Spectroscopy of SABRE-Hyperpolarized Mixtures,1H-SABRE
0215.md,The development of a small continuous flow parahydrogen catalyst for cryogenic pellet experiments,1H-SABRE
0304.md,Screening of Protein-Ligand Binding Using a SABRE Hyperpolarized Reporter,1H-SABRE
0076.md,Achieving High Levels of NMR-Hyperpolarization in Aqueous Media With Minimal Catalyst Contamination Using SABRE,1H-SABRE
0534.md,Understanding substrate substituent effects to improve catalytic efficiency in the SABRE hyperpolarisation process†,1H-SABRE
0510.md,Solvent responsive catalyst improves NMR sensitivity via efficient magnetisation transfer†,1H-SABRE
0511.md,Using signal amplification by reversible exchange (SABRE) to hyperpolarise $^{119}\mathrm{Sn}$ and $^{29}\mathrm{Si}$ NMR nuclei†‡,1H-SABRE
0231.md,Optimization of SABRE for polarization of the tuberculosis drugs pyrazinamide and isoniazid,1H-SABRE
0202.md,Substituent Influences on the NMR Signal Amplification of Ir Complexes with Heterocyclic Carbene Ligands,1H-SABRE
0156.md,Probing signal amplification by reversible exchange using an NMR flow system,1H-SABRE
0237.md,Spin polarization transfer mechanisms of SABRE: A magnetic field dependent study,1H-SABRE
0358.md,Indirect Detection of Short-Lived Hydride Intermediates of Iridium N-Heterocyclic Carbene Complexes via Chemical Exchange Saturation Transfer Spectroscopy,1H-SABRE
0164.md,Using ${}^{2}\mathbf{H}$ labelling to improve the NMR detectability of pyridine and its derivatives by SABRE,1H-SABRE
0431.md,Water-Compatible and Recyclable Heterogeneous SABRE Catalyst for NMR Signal Amplification,1H-SABRE
0031.md,Heterogeneous Solution NMR Signal Amplification by Reversible Exchange,1H-SABRE
0313.md,Temperature-Sensitive Magnetic Resonance Probes: Leveraging Hyperpolarized Pyridine-2-Carbaldehyde and SABRE for Real-Time Temperature Sensing,1H-SABRE
0507.md,Quantitative description of the SABRE process: rigorous consideration of spin dynamics and chemical exchange†,1H-SABRE
0438.md,Irreversible Catalyst Activation Enables Hyperpolarization and Water Solubility for NMR Signal Amplification by Reversible Exchange,1H-SABRE
0194.md,Nanomaterials for hyperpolarized nuclear magnetic resonance and magnetic resonance imaging,13C-PHIP
0413.md,Real-Time Pyruvate Chemical Conversion Monitoring Enabled by PHIP,13C-PHIP
0315.md,Aqueous Ligand-Stabilized Palladium Nanoparticle Catalysts for Parahydrogen-Induced $^{13}\mathrm{C}$ Hyperpolarization,13C-PHIP
0250.md,Studies to enhance the hyperpolarization level in PHIP-SAH-produced C13-pyruvate,13C-PHIP
0227.md,Double tuning a single input probe for heteronuclear NMR spectroscopy at low field,13C-PHIP
0225.md,A pulsed injection parahydrogen generator and techniques for quantifying enrichment,13C-PHIP
0578.md,Parahydrogen-enhanced pH measurements using [1-¹³C]bicarbonate derived from non-enzymatic decarboxylation of [1-¹³C]pyruvate·d₃,13C-PHIP
0244.md,High-resolution hyperpolarized in vivo metabolic $^{13}\mathrm{C}$ spectroscopy at low magnetic field $(48.7\mathrm{mT})$ following murine tail-vein injection,13C-PHIP
0095.md,How to design $^{13}\mathrm{C}$ para-hydrogen-induced polarization experiments for MRI applications,13C-PHIP
0018.md,Parahydrogen-Based Hyperpolarization for Biomedicine,13C-PHIP
0148.md,ParaHydrogen Hyperpolarized Substrates for Molecular Imaging Studies,13C-PHIP
0195.md,Transfer of Parahydrogen-Induced Hyperpolarization to Heteronuclei,13C-PHIP
0610.md,Nuclear singlet relaxation by chemical exchange,13C-PHIP
0546.md,Nuclear hyperpolarization of $(1 - ^{13}\mathrm{C})$-pyruvate in aqueous solution by proton-relayed side-arm hydrogenation,13C-PHIP
0454.md,OPEN Parahydrogen-induced polarization and spin order transfer in ethyl pyruvate at high magnetic fields,13C-PHIP
0048.md,"Parahydrogen-Induced Polarization of a Labeled, Cancer-Targeting DNA Aptamer",13C-PHIP
0421.md,"Over  $20\%$ $^{15}\mathrm{N}$  Hyperpolarization in Under One Minute for Metronidazole, an Antibiotic and Hypoxia Probe",15N-SABRE-SHEATH
0307.md,Parahydrogen in Reversible Exchange Induces Long-Lived $^{15}\mathrm{N}$ Hyperpolarization of Anticancer Drugs Anastrozole and Letrozole,15N-SABRE-SHEATH
0388.md,15N Hyperpolarization of Imidazole-15N2 for Magnetic Resonance pH Sensing via SABRE-SHEATH,15N-SABRE-SHEATH
0365.md,$^{15}$ N Hyperpolarization of Metronidazole Antibiotic in Aqueous Media Using Phase-Separated Signal Amplification by Reversible Exchange with Parahydrogen,15N-SABRE-SHEATH
0321.md,Nitrogen-15 and Fluorine-19 Relaxation Dynamics and Spin-Relayed SABRE-SHEATH Hyperpolarization of Fluoro- [¹⁵N₃] metronidazole,15N-SABRE-SHEATH
0614.md,High-field SABRE pulse sequence design for chemically non-equivalent spin systems,15N-SABRE
0326.md,"Remarkable Levels of $^{15}\mathrm{N}$ Polarization Delivered through SABRE into Unlabeled Pyridine, Pyrazine, or Metronidazole Enable Single Scan NMR Quantification at the mM Level",15N-SABRE
0461.md,Detection of pyridine derivatives by SABRE hyperpolarization at zero field,15N-SABRE
0371.md,Quasi-Resonance Signal Amplification by Reversible Exchange,15N-SABRE
0213.md,Enhancing NMR of insensitive nuclei by transfer of SABRE spin hyperpolarization,15N-SABRE
0607.md,SABRE polarized low field rare-spin spectroscopy,13C-SABRE
0364.md,J Coupling Constants of $< 1$ Hz Enable $^{13}$C Hyperpolarization of Pyruvate via Reversible Exchange of Parahydrogen,13C-SABRE
0284.md,Hyperpolarised benchtop NMR spectroscopy for analytical applications,13C-SABRE
0537.md,Mechanistic insight into novel sulfoxide containing SABRE polarisation transfer catalysts†‡,13C-SABRE
0271.md,SABRE-hyperpolarization dynamics of [1-^13C] pyruvate monitored by in situ zero- to ultra-low field NMR,13C-SABRE
0022.md,Direct $^{13}\mathrm{C}$ Hyperpolarization of $^{13}\mathrm{C}$-Acetate by MicroTesla NMR Signal Amplification by Reversible Exchange (SABRE),13C-SABRE-SHEATH
0387.md,"SABRE-SHEATH Hyperpolarization of $[1,5 - ^{13}\mathrm{C}_2]$ Z-OMPD for Noninvasive pH Sensing",13C-SABRE-SHEATH
0303.md,Rapid  $^{13}\mathrm{C}$  Hyperpolarization of the TCA Cycle Intermediate  $\alpha$ -Ketoglutarate via SABRE-SHEATH,13C-SABRE-SHEATH
0111.md,pH Dependence of T₁ for ¹³C-Labelled Small Molecules Commonly Used for Hyperpolarized Magnetic Resonance Imaging,13C-DNP
0186.md,Extending the Scope of $^{19}$F Hyperpolarization through Signal Amplification by Reversible Exchange in MRI and NMR Spectroscopy,19F-SABRE
0051.md,Hyperpolarization of 15N-Pyridinium by Using Parahydrogen Enables Access to Reactive Oxygen Sensors and Pilot In Vivo Studies,15N-PHIP
0361.md,Toward Optimizing and Understanding Reversible Hyperpolarization of Lactate Esters Relayed from para-Hydrogen,13C-SABRE-RELAY
0542.md,Relayed hyperpolarization from para-hydrogen improves the NMR detectability of alcohols†,1H-SABRE-RELAY
